ID,Issue Type,Summary,Epic Name,Priority,Status,Description,Parent ID,Pts,Wave,Epic
MIDAS-EPIC-0,Epic,ETL Bug Fixes [MIDAS_v6],ETL Bug Fixes,Medium,To Do,High-level grouping for ETL Bug Fixes tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-1,Epic,Docs [MIDAS_v6],Docs,Medium,To Do,High-level grouping for Docs tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-2,Epic,Infrastructure [MIDAS_v6],Infrastructure,Medium,To Do,High-level grouping for Infrastructure tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-3,Epic,Security [MIDAS_v6],Security,Medium,To Do,High-level grouping for Security tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-4,Epic,Dead-Letter Queue [MIDAS_v6],Dead-Letter Queue,Medium,To Do,High-level grouping for Dead-Letter Queue tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-5,Epic,Offline Observer [MIDAS_v6],Offline Observer,Medium,To Do,High-level grouping for Offline Observer tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-6,Epic,AWAP Pattern [MIDAS_v6],AWAP Pattern,Medium,To Do,High-level grouping for AWAP Pattern tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-7,Epic,Schema Compat [MIDAS_v6],Schema Compat,Medium,To Do,High-level grouping for Schema Compat tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-8,Epic,Idempotency [MIDAS_v6],Idempotency,Medium,To Do,High-level grouping for Idempotency tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-9,Epic,Scrapling [MIDAS_v6],Scrapling,Medium,To Do,High-level grouping for Scrapling tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-10,Epic,GMISR v2.0 [MIDAS_v6],GMISR v2.0,Medium,To Do,High-level grouping for GMISR v2.0 tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-11,Epic,Model Delta [MIDAS_v6],Model Delta,Medium,To Do,High-level grouping for Model Delta tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-12,Epic,Scored Metrics [MIDAS_v6],Scored Metrics,Medium,To Do,High-level grouping for Scored Metrics tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-13,Epic,Advanced Signals [MIDAS_v6],Advanced Signals,Medium,To Do,High-level grouping for Advanced Signals tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-14,Epic,Parquet snapshot layer [MIDAS_v6],Parquet snapshot layer,Medium,To Do,High-level grouping for Parquet snapshot layer tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-15,Epic,DuckDB analytics layer [MIDAS_v6],DuckDB analytics layer,Medium,To Do,High-level grouping for DuckDB analytics layer tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-16,Epic,Feature store (ML bridge) [MIDAS_v6],Feature store (ML bridge),Medium,To Do,High-level grouping for Feature store (ML bridge) tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-17,Epic,ML regime classifier [MIDAS_v6],ML regime classifier,Medium,To Do,High-level grouping for ML regime classifier tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-18,Epic,Econ Calendar [MIDAS_v6],Econ Calendar,Medium,To Do,High-level grouping for Econ Calendar tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-19,Epic,EDGAR v2.0 [MIDAS_v6],EDGAR v2.0,Medium,To Do,High-level grouping for EDGAR v2.0 tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-20,Epic,Polymarket Layer [MIDAS_v6],Polymarket Layer,Medium,To Do,High-level grouping for Polymarket Layer tasks from MIDAS_v6 model.,,,,
MIDAS-EPIC-21,Epic,Track B — Shadow Pipeline [MIDAS_v6],Track B — Shadow Pipeline,Medium,To Do,High-level grouping for Track B — Shadow Pipeline tasks from MIDAS_v6 model.,,,,
ETL-1.7.5.5,Story,CFTC Layer 4 — partial 404 fix (Socrata SODA endpoint) [MIDAS_v6],,High,Done,Replaced /api/detail/cot (404) with /resource/6dca-aqww.json Socrata SODA. OData→SoQL query syntax. Superseded by 1.7.5.6.,MIDAS-EPIC-0,1,WAVE 0,ETL Bug Fixes
ETL-1.7.5.6,Story,CFTC Layer 4 — confirmed live endpoint /api/v3/ [MIDAS_v6],,High,Done,"Live endpoint confirmed: /api/v3/views/6dca-aqww/query.json with app_token. Default sort is ASC from 2000 — $order DESC mandatory. 2-source fallback chain. Layer 4 now live: net=-9,180 NEUTRAL. COMMODITY_REGIME composite confirmed on all runs since 03-21.",MIDAS-EPIC-0,2,WAVE 0,ETL Bug Fixes
SYNC-1.3,Story,DEXTER_SYNC_CONTRACT v1.3 — CFTC endpoint + version pairing [MIDAS_v6],,Medium,Done,"Ticker registry updated with confirmed /api/v3/ endpoint, app_token, dataset ID, ascending-sort warning. Version pairing log rows for 1.7.5.1–1.7.5.6 added.",MIDAS-EPIC-1,1,WAVE 0,Docs
DOCS-MACRO,Story,MACRO_TIERS v3.2 — ETL 1.7.5.6 sync [MIDAS_v6],,Medium,Done,Tier -1.5 auctions_query promoted to primary (TA_WS=fallback). Tier 3 DTWEXBGS→DTWEXM fix + sanity gate. Full Dollar Decomposition 4-layer section added. Naming fixed.,MIDAS-EPIC-1,2,WAVE 0,Docs
DOCS-REGIME,Story,REGIME_RULES v2.3 — Dollar Decomp wired into weighting [MIDAS_v6],,Medium,Done,COMMODITY_REGIME + 4 other composites added to Tier 3 rows and ETL→Regime mapping table. ETL sync 1.7.5.6. Naming fixed.,MIDAS-EPIC-1,1,WAVE 0,Docs
DOCS-SOUL,Story,SOUL v2.4 — §3.1 Dollar Decomp supplement [MIDAS_v6],,Medium,Done,§3.1 Dollar Decomposition added with composite table. ETL filename reference updated. MACRO_TIERS v3.2 xref. Naming fixed.,MIDAS-EPIC-1,1,WAVE 0,Docs
DOCS-MANIFEST,Story,MIDAS_SENTINEL_PROMPT_LIBRARY v2026.4 — 3 corrections [MIDAS_v6],,Medium,Done,CONVICTION_CAP 0.4 schema added. DOLLAR_DECOMP + BALTIMORE_PSC in checklist. Daily source filenames corrected to ETL 1.7.5.x names. Phase 0 added to TIER_AUDIT integrity table.,MIDAS-EPIC-1,2,WAVE 0,Docs
DOCS-AGENTS,Story,"AGENTS.md v1.1 — model, ETL spec, conflict logic, phase order [MIDAS_v6]",,Medium,Done,Main agent upgraded to gemini-3-flash-preview. ETL spec 1.2.0.0→1.7.5.6. FRA-OIS conflict logic corrected (CB Supremacy). EDGAR web_fetch scope corrected. TIER_AUDIT anchor + CONVICTION_CAP + phase sequence added.,MIDAS-EPIC-1,2,WAVE 0,Docs
DOCS-OC-SOUL,Story,OPENCLAW_SOUL 2026.3.22 — 6 logic fixes [MIDAS_v6],,High,Done,"Phase scope 1-5→0-5. 40bps Rubicon logic corrected (Regime A elevated, not Regime C). Canonical threshold source: SOUL §3 not SYNC_CONTRACT. DTCC→SEC FTD. Dollar Decomp + CONVICTION_CAP 0.4 + GatePassObject added.",MIDAS-EPIC-1,2,WAVE 0,Docs
DOCS-HEARTBEAT,Story,HEARTBEAT.md v1.1 — 11 fixes [MIDAS_v6],,High,Done,"ETL run at 05:45. NotebookLM upload at 05:55. Phase 0 at 06:00. Phase 0.5 conditional slot. DOLLAR_DECOMP gate check. Phase 5 explicit. DEXTER_SENTINEL→MIDAS_SENTINEL log. 30m FRA-OIS polling removed (SOFR is daily, not real-time). Shadow journal v2026.4 ref.",MIDAS-EPIC-1,2,WAVE 0,Docs
DOCS-NAMING,Story,Naming standardisation — Dexter ETL / Midas Sentinel [MIDAS_v6],,Medium,Done,"Dexter = ETL/data layer. Midas Sentinel = analysis/OpenClaw layer. 6 violations fixed across dexter_etl, MACRO_TIERS, REGIME_RULES, MIDAS_SENTINEL manifest. Zero violations remaining.",MIDAS-EPIC-1,1,WAVE 0,Docs
DOCS-NOTEBOOKLM,Story,dexter_notebooklm_upload.py — automated daily upload [MIDAS_v6],,High,Done,Uploads all ETL output files + foundation docs to NotebookLM in tier priority order. TIER_AUDIT first. dexter_notebooklm_upload.py using notebooklm-py (teng-lin). --dry-run flag. DEXTER_DATA_DIR + DEXTER_FOUNDATION_DIR env vars.,MIDAS-EPIC-1,2,WAVE 0,Docs
CRON-1,Story,"Fix cron UTC offset: 45 5 → 10 45 (fires at 01:45 ET, not 05:45 ET) [MIDAS_v6]",,High,To Do,Current: 45 5 * * * UTC = 01:45 ET. Target: 10 45 * * 1-5 UTC = 05:45 ET EST. This means the ETL runs in the middle of the night on yesterday's data. Fix before next market day.,MIDAS-EPIC-2,1,WAVE 0,Infrastructure
CRON-2,Story,Remove API keys from cron prompt body — move to env vars [MIDAS_v6],,Highest,To Do,"FINNHUB_KEY, FRED_API_KEY, SLACK_WEBHOOK are in plaintext in the cron prompt string. Anyone with cron config access sees all three credentials. Move to Azure VM environment variables or Key Vault. ETL already reads from env vars.",MIDAS-EPIC-3,2,WAVE 0,Security
CRON-3,Story,Fix SLACK_WEBHOOK double-fire — remove from cron prompt body [MIDAS_v6],,High,To Do,SLACK_WEBHOOK in both prompt body and delivery config. ETL already posts its own Slack alert at run end. Remove from prompt body to prevent duplicate messages on every run.,MIDAS-EPIC-3,1,WAVE 0,Security
CRON-4,Story,"Add dexter_notebooklm_upload.py as cron step 3 (after ETL, before Phase 0) [MIDAS_v6]",,High,To Do,HEARTBEAT 05:55 step. Must run after ETL (which creates the files) and before Phase 0 (which reads them from NotebookLM). All source files must be in notebook before OpenClaw synthesises.,MIDAS-EPIC-2,1,WAVE 0,Infrastructure
CRON-5,Story,Add OpenClaw Phase 0-5 as cron step 6 [MIDAS_v6],,High,To Do,Signal Aggregator through GMISR Reporter entirely absent from cron. Phase 0→0.5(conditional)→1→2→3→4→5 must be scheduled after NotebookLM upload completes.,MIDAS-EPIC-2,2,WAVE 0,Infrastructure
CRON-6,Story,Add DAILY_STATE.md update as cron step 7 (after Phase 5) [MIDAS_v6],,Medium,To Do,Phase 5 output feeds DAILY_STATE.md carry-over. Currently not scheduled. Shadow journal section must be filled manually before re-opening NotebookLM.,MIDAS-EPIC-2,1,WAVE 0,Infrastructure
CRON-7,Story,Rename feedmd_config_03-01-2026.yml to date-agnostic name [MIDAS_v6],,Medium,To Do,Hardcoded date in config filename. Will silently use a March 1st config indefinitely. Rename to feedmd_config.yml or derive name dynamically.,MIDAS-EPIC-2,1,WAVE 0,Infrastructure
CRON-8,Story,Restrict cron to weekdays (1-5) and confirm weekend intent [MIDAS_v6],,Medium,To Do,Currently * * * = 7 days/week. Weekend ETL produces stale data. Recommend 1-5 unless Saturday/Sunday runs are intentional. Weekend data could confuse Monday Phase 1 regime read.,MIDAS-EPIC-2,1,WAVE 0,Infrastructure
DL-1,Story,Define DeadLetterEntry dataclass and criticality map [MIDAS_v6],,Medium,Done,"Typed DeadLetterEntry: timestamp, module, source_name, url, error_type, error_detail, is_critical, retry_hint. Critical sources: FRED WALCL/SOFR, yfinance VIX. Non-critical: Treasury auctions.",MIDAS-EPIC-4,3,WAVE 1,Dead-Letter Queue
DL-2a,Story,Thread dead-letter through run_fred() and run_treasury() (M1/M2) [MIDAS_v6],,Medium,Done,Dead_letters list wired into Modules 1 and 2. Bare except replaced with DeadLetterEntry append.,MIDAS-EPIC-4,2,WAVE 1,Dead-Letter Queue
DL-2b,Story,Thread dead-letter through run_market() and run_fed_and_dtcc() (M3/M5) [MIDAS_v6],,Medium,Done,Dead_letters list wired into Modules 3 and 5.,MIDAS-EPIC-4,2,WAVE 1,Dead-Letter Queue
DL-2c,Story,Thread dead-letter through run_news() and run_calendars() (M7/M6) [MIDAS_v6],,Medium,To Do,Two remaining function signatures need dead_letters parameter. run_news() has many feed sources that currently fail silently. run_calendars() Finnhub calls.,MIDAS-EPIC-4,2,WAVE 1,Dead-Letter Queue
DL-3,Story,Write FAILED_{date}.json + DATA_FAILURES block in TIER_AUDIT [MIDAS_v6],,Medium,To Do,"After all modules complete: write FAILED_{run_date}.json. In build_tier_audit(): count critical failures, reduce CONVICTION_CAP by 0.2 per critical failure (floor 0.2), append DATA_FAILURES section.",MIDAS-EPIC-4,3,WAVE 1,Dead-Letter Queue
OO-1,Story,Define OBSERVATION_RULES dict per module [MIDAS_v6],,Low,Done,Expected minimums: FRED >= 400 chars + NET LIQUIDITY string; Auctions >= 10 records; Market CSV >= 15 rows; EDGAR >= 500 chars + PRIORITY 1; News >= 20000 chars + 8 sources; Calendars >= 100 chars.,MIDAS-EPIC-5,2,WAVE 1,Offline Observer
OO-2,Story,Implement run_offline_observer() as Module 9.5 [MIDAS_v6],,Medium,To Do,"Runs after all modules, before build_tier_audit(). Reads each output file, applies OBSERVATION_RULES, builds observations dict with actual vs expected, pass/fail, degradation level. Cross-references dead-letter list.",MIDAS-EPIC-5,5,WAVE 1,Offline Observer
OO-3,Story,Inject observation results into TIER_AUDIT and completion banner [MIDAS_v6],,Low,To Do,Pass observations to build_tier_audit(). Add DATA_QUALITY_REPORT section. CORPUS_QUALITY = (passing/total) × 100. Print in banner alongside CONVICTION_CAP.,MIDAS-EPIC-5,3,WAVE 1,Offline Observer
AW-1,Story,Create staging/ directory structure and write_staged() helper [MIDAS_v6],,Medium,To Do,"Staging subdirectory in dexter_data/YYYYMMDD/. write_staged() writes to staging first; promote() copies to final. Final output files only exist if they passed audit. NotebookLM uploads from root, never sees staging.",MIDAS-EPIC-6,3,WAVE 2,AWAP Pattern
AW-2,Story,Implement pre-write input audit (Audit step 1) [MIDAS_v6],,High,To Do,"audit_input(module, data, rules) → (passed, errors). Per module: FRED all 9 series non-None; market VIX/DGS10/one equity; EDGAR P1 or P2 hit; news 3+ feeds. Fail: write DEGRADED to staging, append dead_letter.",MIDAS-EPIC-6,8,WAVE 2,AWAP Pattern
AW-3,Story,Implement post-write output audit (Audit step 2) [MIDAS_v6],,High,To Do,"audit_output(staged_path, rules). FRED_SUMMARY: all 9 labels; COMMODITIES: WTI+Brent non-zero; TIER_AUDIT: all required sections. Pass → promote(). Fail → AUDIT_FAILED_{module}_{date}.txt.",MIDAS-EPIC-6,5,WAVE 2,AWAP Pattern
AW-4,Story,Implement three audit failure strategies (Fail/Dispatch/Ignore) [MIDAS_v6],,Medium,To Do,"Per-module AUDIT_FAILURE_STRATEGY: Fail (FRED), Dispatch to dead-letter (Treasury/market), Ignore+DEGRADED (news). TIER_AUDIT reflects which strategy fired.",MIDAS-EPIC-6,5,WAVE 2,AWAP Pattern
SC-1,Story,Define expected schemas for all external API responses [MIDAS_v6],,Medium,To Do,SCHEMAS dict in schema_registry.py. Treasury auctions_query required fields. FRED observations list. EDGAR _source with file_date. yfinance DataFrame with Close. Mark required/optional/deprecated.,MIDAS-EPIC-7,3,WAVE 2,Schema Compat
SC-2,Story,Implement validate_schema() and inject into fetch steps [MIDAS_v6],,High,To Do,"validate_schema(data, schema) → (compatible, drift_report). Three outcomes: compatible; forward-compatible (new optionals, log); backward-incompatible (required missing, → SCHEMA_DRIFT dead_letter). Inject into run_treasury/fred/edgar/market.",MIDAS-EPIC-7,5,WAVE 2,Schema Compat
SC-3,Story,Write SCHEMA_DRIFT report and auto-update optional field registry [MIDAS_v6],,Low,To Do,"SCHEMA_DRIFT_{date}.txt when new optionals appear. Auto-learn: new field 3 runs in a row → add to optional list with comment. Backward-incompatible → CRITICAL flag, halt module.",MIDAS-EPIC-7,3,WAVE 2,Schema Compat
ID-1,Story,Define idempotency granularity and document the contract [MIDAS_v6],,Low,Done,run_date (YYYYMMDD) is the idempotency partition key. dexter_data/YYYYMMDD/ is one atomic unit. Two runs for same date produce identical output (same API responses).,MIDAS-EPIC-8,1,WAVE 3,Idempotency
ID-2,Story,Fix FRED_SUMMARY append bug — most urgent idempotency violation [MIDAS_v6],,High,Done,"Treasury XML block moved before write_file() in run_fred(). Built as tsy_block='', written once as summary+tsy_block. No read_text() anywhere. Confirmed fixed in 1.7.5.2.",MIDAS-EPIC-8,2,WAVE 3,Idempotency
ID-3,Story,Implement atomic write via stage-then-rename (write_atomic) [MIDAS_v6],,High,To Do,"write_atomic(path, content): write to path.with_suffix('.tmp'), then os.replace(tmp→final). Atomic on POSIX. Add startup cleanup of *.tmp orphans. Replaces write_file() everywhere.",MIDAS-EPIC-8,5,WAVE 3,Idempotency
ID-4,Story,Add run MANIFEST.json with schema version and ETL script hash [MIDAS_v6],,Medium,To Do,"MANIFEST.json in dexter_data/YYYYMMDD/: run_date, etl_version (hash), schema_version, modules_completed, run_start/end. On re-run: skip completed modules unless --force-rerun.",MIDAS-EPIC-8,5,WAVE 3,Idempotency
ID-5,Story,Make EDGAR incremental with delta-column state file (edgar_state.json) [MIDAS_v6],,Medium,To Do,"State file with last_successful_fetch_dt. since = max(last_fetch, today-14d). After successful write update state. 14-day backfill window. Eliminates ghost-filing problem.",MIDAS-EPIC-8,5,WAVE 3,Idempotency
ID-6,Story,--force-rerun flag and idempotency test procedure [MIDAS_v6],,Medium,To Do,"CLI flag: delete manifest, clear staging, re-run all. Test: run twice for same date, diff output — byte-identical except TIER_AUDIT timestamp.",MIDAS-EPIC-8,3,WAVE 3,Idempotency
SCRAP-1,Story,Refactor scrapling_news.py — Category A sources only [MIDAS_v6],,High,To Do,"Remove all 10 overlap sources (Reuters/FT/WSJ/CNBC/MarketWatch/BIS/Fed/FRED/SEC/Google — ETL already covers these). Keep: BoJ, PBOC, BoE, BCB, RBI, SAMA, Caixin, Risk.net, Trading Economics, Al Jazeera, Les Echos, Arabian Business, Brazil Journal, Hankook Ilbo, chinanews.com.cn. Reduces runtime ~50% and eliminates redundant data.",MIDAS-EPIC-9,3,WAVE 4,Scrapling
SCRAP-2,Story,Write merge_scrapling_into_corpus.py — append §SCRAPLING_SUPPLEMENT to NEWS_CORPUS [MIDAS_v6],,High,To Do,"Reads scraping output directory, reads existing NEWS_CORPUS_{date}.txt, appends §SCRAPLING_SUPPLEMENT section with tier-tagged content. Must run after ETL (NEWS_CORPUS must exist first) and before NotebookLM upload.",MIDAS-EPIC-9,3,WAVE 4,Scrapling
SCRAP-3,Story,Document scrapling data lineage in SYNC_CONTRACT v1.4 [MIDAS_v6],,Medium,To Do,"Add scrapling_news.py to source registry. Map Category A sources to MACRO_TIERS tiers: BoJ/PBOC/BoE → Tier -1, Caixin → Tier 2/3, Risk.net → Tier -1/4. Document cron step order dependency.",MIDAS-EPIC-9,1,WAVE 4,Scrapling
SCRAP-4,Story,Wire scrapling Category A sources into MACRO_TIERS tier routing [MIDAS_v6],,Medium,To Do,Add BoJ/PBOC/BoE/BCB/RBI to MACRO_TIERS Tier -1 source list. Add Caixin/Brazil Journal to Tier 2/3 HDS routing. Add Risk.net to Tier -1 specialist sources. Update MACRO_TIERS v3.3.,MIDAS-EPIC-9,2,WAVE 4,Scrapling
GMISR-1,Story,Add GICS codes to SENTENCE_DIRECTIVE setups (Phase 4 prompt) [MIDAS_v6],,High,To Do,Every driver and active setup must carry full GICS code (e.g. 45103010). Phase 4 prompt addition. No ETL change required.,MIDAS-EPIC-10,2,WAVE 5,GMISR v2.0
GMISR-2,Story,Add qualitative invalidation condition per driver [MIDAS_v6],,High,To Do,Each setup in SENTENCE_DIRECTIVE must include: INVALIDATION: [specific condition that cancels the thesis]. e.g. 'US-Iran ceasefire' or 'CEO retracts exit'. Phase 4 prompt addition.,MIDAS-EPIC-10,2,WAVE 5,GMISR v2.0
GMISR-3,Story,Add Catalyst Map 24h/48h/72h as Block 10 to Phase 5 GMISR schema [MIDAS_v6],,High,To Do,"Structured forward-looking catalyst timeline: what to watch for in next 24h, 48h, 72h. Phase 5 prompt schema addition. Corresponds to v1.0 Block 10.",MIDAS-EPIC-10,2,WAVE 5,GMISR v2.0
GMISR-4,Story,Add structured pair trade output to Phase 5 [MIDAS_v6],,High,To Do,Phase 5 GMISR Strategy Matrix block: Long [TICKER] ([GICS]) / Short [TICKER] ([GICS]) with GICS sector logic. Replaces individual setup list. Phase 5 prompt schema addition.,MIDAS-EPIC-10,2,WAVE 5,GMISR v2.0
GMISR-5,Story,Add per-claim source citation (Block 11 Data Lineage) to Phase 5 [MIDAS_v6],,Medium,To Do,"Phase 5 GMISR Data Lineage block: cite source per major claim. Financial tables, geopolitical, macro/credit sources named. Phase 5 prompt addition.",MIDAS-EPIC-10,2,WAVE 5,GMISR v2.0
GMISR-6,Story,Add NDI (Narrative Divergence Index) to Phase 3 NARRATIVE_ALPHA output [MIDAS_v6],,Medium,To Do,Count distinct narrative clusters in NEWS_CORPUS. Score 0-1. Add to NARRATIVE_ALPHA contract as NDI field. Phase 3 prompt addition.,MIDAS-EPIC-10,2,WAVE 5,GMISR v2.0
GMISR-7,Story,Add Narrative Velocity / NLLI scoring to Phase 3 [MIDAS_v6],,Medium,To Do,Score velocity of emerging vs established narrative clusters. New cluster gaining saturation = positive NLLI. Add NLLI to NARRATIVE_ALPHA contract.,MIDAS-EPIC-10,3,WAVE 5,GMISR v2.0
DELTA-1,Story,Add Claude (Anthropic API) as Lineage B agent in AGENTS.md [MIDAS_v6],,Medium,To Do,"Add second researcher agent using Claude Sonnet via Anthropic API. Lineage A = Gemini flash-preview, Lineage B = Claude Sonnet. Both run Phase 3 (Fundamental Agent) independently on same corpus.",MIDAS-EPIC-11,3,WAVE 5,Model Delta
DELTA-2,Story,Write Phase 3.5 delta synthesiser prompt [MIDAS_v6],,Medium,To Do,"New phase between Phase 3 and Phase 4. Takes both NARRATIVE_ALPHA contracts (Lineage A + B). Identifies agreements (high confidence), disagreements (flag for human review), and synthesises into a single consolidated NARRATIVE_ALPHA_CONSENSUS. When lineages disagree on direction: flag CONFLICT_WITH_LINEAGE_B = TRUE.",MIDAS-EPIC-11,3,WAVE 5,Model Delta
DELTA-3,Story,Add Model Delta block (Block 4) to Phase 5 GMISR schema [MIDAS_v6],,Medium,To Do,"Block 4 in GMISR: what did Lineage A say, what did Lineage B say, where did they diverge, what was the synthesis decision. Maps to v1.0 Block 4.",MIDAS-EPIC-11,2,WAVE 5,Model Delta
DELTA-4,Story,Define sizing rule from lineage delta [MIDAS_v6],,Low,To Do,"When Lineage A and B disagree on direction: use cautionary lineage for position sizing (per v1.0 logic: Claude divergence for pair selection, ChatGPT cautionary sizing). Encode in Phase 4 SENTENCE_DIRECTIVE sizing formula.",MIDAS-EPIC-11,2,WAVE 5,Model Delta
SCORE-1,Story,Implement HDS auto-scoring in run_news() [MIDAS_v6],,Medium,To Do,Compute Headline Density Score per tier: count of matching headlines per tier_keywords group / total items. Write HDS per tier to NEWS_CORPUS header section. Top 3 themes by count = blob detection.,MIDAS-EPIC-12,5,WAVE 5,Scored Metrics
SCORE-2,Story,Implement VPI (Volatility Pricing Index) in build_tier_audit() [MIDAS_v6],,Medium,To Do,VPI = VIX_spot / (5-day realized vol proxy). VIX > realized → VIX lagging = VPI > 1 (underpriced stress). Requires 5-day VIX history from RUN_HISTORY.log. Add to TIER_AUDIT.,MIDAS-EPIC-12,3,WAVE 5,Scored Metrics
SCORE-3,Story,Implement LFI (Liquidity Friction Index) in build_tier_audit() [MIDAS_v6],,Medium,To Do,LFI = composite of: FRA-OIS normalised (0-1 over 0-60bps range) + BDC price discount to NAV proxy + EDGAR 8-K withdrawal/redemption count. Write to TIER_AUDIT.,MIDAS-EPIC-12,5,WAVE 5,Scored Metrics
SCORE-4,Story,Implement NLLI (Narrative Lag-Lead Indicator) in run_news() [MIDAS_v6],,Medium,To Do,Compare current run's tier headline counts to prior 5-run rolling average. Rising count in tier = positive NLLI for that tier. Write NLLI vector to NEWS_CORPUS header.,MIDAS-EPIC-12,5,WAVE 5,Scored Metrics
SCORE-5,Story,Implement CCS (Cross-Correlation Score) in run_market() [MIDAS_v6],,Low,To Do,"CCS = correlation between ratio-pair movements (TQQQ/SQQQ, Gold/NASDAQ etc) vs broad index. Low CCS = idiosyncratic alpha opportunity. Requires 5-day price history.",MIDAS-EPIC-12,5,WAVE 5,Scored Metrics
SCORE-6,Story,Implement CXOD (Cross-Asset Order Delta) in run_market() [MIDAS_v6],,Low,To Do,"CXOD = signed flow divergence: (USO 1d return) - (QQQ 1d return). Positive = energy bid, equities sold. Negative = risk-on. Write to COMMODITIES/EQUITIES files.",MIDAS-EPIC-12,3,WAVE 5,Scored Metrics
SCORE-7,Story,Implement PSI (Policy Sensitivity Index) in build_tier_audit() [MIDAS_v6],,Low,To Do,PSI = composite of: GDP revision magnitude + FRA-OIS level + high-impact events within 5 days + earnings guidance revision count. Higher PSI = higher policy error risk.,MIDAS-EPIC-12,5,WAVE 5,Scored Metrics
IQ-5,Story,COT/CFTC positioning (Module 6b Layer 4) — LIVE [MIDAS_v6],,Medium,Done,"CFTC non-commercial net long on USD Index (098662) via /api/v3/. Confirmed working 2026-03-22. net=-9,180 = NEUTRAL. Composite unaffected by positioning at this level.",MIDAS-EPIC-13,2,WAVE 5,Advanced Signals
T4-8,Story,Gold/NASDAQ absolute >0.30 flag in TIER_AUDIT [MIDAS_v6],,Medium,To Do,MA deviation exists (gn_ma_pct). Absolute ratio flag (gn_ratio > 300 at ×1000 scale) is missing from TIER_AUDIT. Add as separate row in TIER_5 block.,MIDAS-EPIC-13,2,WAVE 5,Advanced Signals
T4-10,Story,RATIO_SIGNALS named section in TIER_AUDIT — schema 2.0.0.0 [MIDAS_v6],,High,To Do,Major schema change: add dedicated RATIO_SIGNALS section listing all SOUL §3 ratio pair statuses in a consistent format. Requires build_tier_audit() rewrite and version bump.,MIDAS-EPIC-13,8,WAVE 5,Advanced Signals
P1-1,Story,Add write_parquet_snapshot() to ETL main() [MIDAS_v6],,High,To Do,"After build_tier_audit() completes, write one Parquet row to dexter_data/parquet/gmisr_metrics/ partitioned by run_date. 28 typed columns: all TIER_AUDIT scalars + scored metrics (HDS/VPI/LFI/NLLI/PSI/CXOD/NDI) + regime + conviction_cap + sentence_bias + dollar_composite + cftc_net + all ratio values. pandas .to_parquet(). Zero infra — writes to local disk. ETL bump to 1.8.0.0.",MIDAS-EPIC-14,3,WAVE 6,Parquet snapshot layer
P1-2,Story,Define and lock GMISR_METRICS Parquet schema v1.0 [MIDAS_v6],,High,To Do,Create schema_registry.py entry for gmisr_metrics. 28 typed columns. Scored metric columns NULLABLE until SCORE-1/7 Wave 5 work lands. Schema version in MANIFEST.json. Breaking changes require migration script.,MIDAS-EPIC-14,2,WAVE 6,Parquet snapshot layer
