ID,Issue Type,Summary,Epic Name,Priority,Status,Description,Parent ID,Pts,Wave,Epic
P1-3,Story,Add phase1_agreement and actual_spx_5d ML label columns [MIDAS_v6],,Medium,To Do,phase1_agreement BOOL: written retrospectively from DAILY_STATE.md shadow journal field after Phase 10. actual_spx_5d FLOAT: forward-filled weekly cron — SPX return for runs where 5 trading days elapsed. These are the two primary ML target label columns. Cannot be filled at run time.,MIDAS-EPIC-14,3,WAVE 6,Parquet snapshot layer
P1-4,Story,Write backfill_parquet.py — populate history from existing run archives [MIDAS_v6],,Medium,To Do,"One-time script: reads RUN_HISTORY.log to enumerate past run dates, parses each dexter_data/YYYYMMDD/ TIER_AUDIT + FRED_SUMMARY + DOLLAR_DECOMP into structured dicts, writes Parquet rows for all historical dates. Nullable for fields not in older ETL versions. Idempotent: skips run_dates already in store.",MIDAS-EPIC-14,5,WAVE 6,Parquet snapshot layer
P2-1,Story,Set up DuckDB + Evidence.dev local dashboard [MIDAS_v6],,Medium,To Do,"pip install duckdb. Write dexter_analytics.py: connects to gmisr_metrics Parquet, exposes 5 standard queries (regime trend 90d, metric heatmap, conviction history, NLLI velocity chart, phase1_agreement accuracy rate). Evidence.dev renders static local dashboard from SQL. Zero infra, runs on-machine.",MIDAS-EPIC-15,3,WAVE 6,DuckDB analytics layer
P2-2,Story,Build 30/60/90-day regime and metrics dashboard [MIDAS_v6],,Medium,To Do,Dashboard pages: (1) Regime timeline bar chart with conviction_cap overlay. (2) Scored metrics heatmap HDS/VPI/LFI/NLLI/PSI colour-coded by week. (3) Dollar decomp history COMMODITY_REGIME vs TRUE_RISK_OFF over time. (4) Shadow journal accuracy — rolling PHASE1_AGREEMENT % by month. Replaces ad-hoc NotebookLM lookbacks.,MIDAS-EPIC-15,3,WAVE 6,DuckDB analytics layer
P3-1,Story,Implement Feast feature store — point-in-time correct training sets [MIDAS_v6],,Low,To Do,pip install feast. Define FeatureView over gmisr_metrics Parquet. Entity = run_date. Features = all scored metrics + tier fields. Materialise to local SQLite online store. Key function: get_historical_features() returns training dataset with no look-ahead bias. Prerequisite for Wave 7 HMM classifier.,MIDAS-EPIC-16,5,WAVE 6,Feature store (ML bridge)
P4-1,Story,Build regime classifier v1.0 — HMM on scored metrics [MIDAS_v6],,Low,To Do,"Requires >= 30 labelled run_dates (Kelly activation gate). Features: [HDS, VPI, LFI, VX_ratio, FRA-OIS, net_liq_roc, NLLI]. Label: regime A/B/C. Model: Hidden Markov Model (hmmlearn). Regime = hidden state, metrics = observations. Validation: HMM calls vs PHASE1_AGREEMENT shadow journal labels. Phase 10 auditor reports HMM accuracy weekly. Do not activate before 30-trade gate.",MIDAS-EPIC-17,8,WAVE 6,ML regime classifier
P4-2,Story,Build SENTENCE_DIRECTIVE outcome tracker — P&L attribution log [MIDAS_v6],,Low,To Do,"For each SENTENCE_DIRECTIVE conviction >= 0.40: record entry trigger, stop, target, actual_exit, outcome (win/loss/stopped/expired). Write to trade_log.parquet partitioned by run_date. Phase 10 auditor reads trade_log for attribution. Kelly fraction activates when trade_log has >= 30 closed trades.",MIDAS-EPIC-17,5,WAVE 6,ML regime classifier
P4-3,Story,Kelly fraction activation and SOUL.md v3.0 update [MIDAS_v6],,Low,To Do,When trade_log >= 30 closed: compute win_rate and avg_win/loss_ratio. Kelly = win_rate - (1-win_rate)/ratio. Phase 10 produces Kelly note for SOUL.md. Fixed-fractional (1%) active until this gate. Transition from paper-sizing to empirical sizing — SOUL.md version 3.0.,MIDAS-EPIC-17,2,WAVE 6,ML regime classifier
CAL-1,Story,"Enrich run_calendars() — add region, status (released/upcoming), ET time conversion [MIDAS_v6]",,High,To Do,"Current: filters HIGH only, no country code, UTC time, no released/upcoming split. Add: region lookup dict mapping event strings → country code (US/EU/JP/UK/EM). Add: status = RELEASED if event_time < run_time else UPCOMING. Add: ET timezone conversion (UTC → America/New_York). Add: medium-impact events (currently dropped). Produces richer ECON_CALENDAR_{date}.txt.",MIDAS-EPIC-18,3,WAVE 5,Econ Calendar
CAL-2,Story,Add ForexFactory / TradingEconomics calendar as primary source alongside Finnhub [MIDAS_v6],,High,To Do,"ForexFactory XML calendar (forexfactory.com/calendar.xml) is the de facto FX trader standard. Provides: country, impact (Low/Medium/High), title, forecast, actual, previous. Free, no auth. TradingEconomics RSS as secondary. Merge with Finnhub, deduplicate by event+date. ForexFactory covers ECB speaker events, central bank speeches Finnhub misses.",MIDAS-EPIC-18,3,WAVE 5,Econ Calendar
CAL-3,Story,Add Atlanta Fed GDPNow as a dedicated ETL source (Module 6c) [MIDAS_v6],,High,To Do,GDPNow updates Tuesday and Thursday at ~13:00 ET. Scrape atlantafed.org/cqer/research/gdpnow current estimate + prior estimate. Write to ECON_CALENDAR_{date}.txt as a separate NOWCAST section. Tier 1 relevance: GDP nowcast is a leading indicator of Fed policy path. Uses scrapling (JS-rendered page) or direct HTML parse.,MIDAS-EPIC-18,2,WAVE 5,Econ Calendar
CAL-4,Story,Add tier_tag mapping to each calendar event [MIDAS_v6],,Medium,To Do,"Create ECON_TIER_MAP dict: keywords → tier. Examples: 'CPI','PCE','inflation' → Tier 2; 'GDP','NFP','unemployment' → Tier 1; 'fed funds','FOMC','rate decision' → Tier -1; 'BoJ','ECB','BoE' speaker → Tier -1 + Tier 3; trade balance → Tier 3. Write tier_tag to each event line in ECON_CALENDAR. Phase 0 uses this to route event into the correct tier section of TIER_AUDIT.",MIDAS-EPIC-18,2,WAVE 5,Econ Calendar
CAL-5,Story,Compute and write event suppression scalars per-event in ECON_CALENDAR [MIDAS_v6],,Medium,To Do,"Current: suppression scalar note is text-only. Add per-event scalar computation: FOMC day = 0.25, FOMC T-1 = 0.50, CPI day = 0.30, CPI T-1 = 0.60, Major CB speaker (ECB/BoE/BoJ) = 0.75, Major auction day = 0.75, no events = 1.0. Write both scalar and next-day T-1 scalar to file. Phase 2 GatePass reads these directly instead of re-computing from raw event list.",MIDAS-EPIC-18,2,WAVE 5,Econ Calendar
CAL-6,Story,Add released vs upcoming split with actual vs forecast delta in ECON_CALENDAR [MIDAS_v6],,Medium,To Do,"For RELEASED events (event_time < run_time): compute surprise_delta = actual - forecast. Flag BEAT (delta positive, lower=better reversed for CPI etc) or MISS. Write: 'RELEASED -- Singapore CPI 1.2% actual vs 1.3% forecast [BEAT] [TIER 2]'. For UPCOMING events: write forecast, prior, time until release. Phase 3 Fundamental Agent reads RELEASED actuals as a tier-tagged signal source.",MIDAS-EPIC-18,3,WAVE 5,Econ Calendar
CAL-7,Story,Add central bank speaker event scraping from ECB/BoJ/BoE press release RSS [MIDAS_v6],,Low,To Do,"ECB: ecb.europa.eu/press/calendars/mopo/html/index.en.html RSS. BoJ: boj.or.jp/en/announcements/release/index.htm RSS. BoE: bankofengland.co.uk/rss/publications RSS. Extract speaker name, title, time, topic. Write as SPEAKER_EVENTS section in ECON_CALENDAR. Tier tag: Tier -1 (rate path) + Tier 3 (FX impact). These are the events Finnhub misses (ECB Lane example in feedback).",MIDAS-EPIC-18,3,WAVE 5,Econ Calendar
GMISR-8,Story,Add Block 2.5 Economic Calendar to Phase 5 GMISR schema [MIDAS_v6],,High,To Do,New block between tier snapshot (Block 3) and scored metrics (Block 2). Structure: (1) Released section with actual/forecast/prior and tier-tagged narrative. (2) Upcoming section with suppression scalar per event. (3) Suppression scalar summary line for Phase 2 gate reference. Region and impact filter buttons in HTML output. Phase 3 Fundamental Agent generates 1-sentence narrative per high/med-impact event using the tier_tag and surprise_delta fields from ECON_CALENDAR.,MIDAS-EPIC-10,2,WAVE 5,GMISR v2.0
SEC-1,Story,"Add filing size, CIK, and minute-level timestamp to EDGAR_.txt output [MIDAS_v6]",,High,To Do,"Current: entity name + form type + date only. Add: _id (CIK), file_size_bytes (from EDGAR EFTS _source.file_size or HEAD request), and filed_at timestamp with HH:MM. Size is a primary v2.0 signal: 301KB CoreWeave cluster vs 10KB routine Form 4. Minute-level timing enables window clustering (7-min CoreWeave, 9-min NVIDIA, 1-min Cadence). Output format: DATE HH:MM  FORM  ENTITY  CIK  SIZE_KB  SIGNAL_NOTES",MIDAS-EPIC-19,3,WAVE 5,EDGAR v2.0
SEC-2,Story,Add Form 4 transaction type parsing — acquisition vs disposal direction [MIDAS_v6],,High,To Do,"Current: all Form 4s treated equally. Need: parse transaction code from Form 4 XML (transactionCode field: P=purchase, S=sale, F=tax withholding, A=award, M=option exercise). Only P (open-market purchase) and S (open-market sale) are credible signals. Filter out: F, A, M, V (option exercises, awards, RSU vesting). Write direction to EDGAR_.txt as [BUY] or [SELL] or [RSU/OPTION - not signal]. Requires EDGAR individual filing XML parse for each Form 4 hit.",MIDAS-EPIC-19,5,WAVE 5,EDGAR v2.0
SEC-3,Story,Add GICS 8-digit code lookup from SIC code on all filing entities [MIDAS_v6],,High,To Do,"EDGAR EFTS returns sic (SIC code) in _source. Build SIC_TO_GICS mapping dict (SIC 3674=45301020 Semiconductors, SIC 7372=45103010 Application Software, etc). Approximately 200 mappings cover 90% of filing volume. Write GICS code to every filing row in EDGAR_.txt. Enables: buy/sell ratio aggregation by 8-digit sector, GICS divergence analysis (v2.0 §2C), and validated pair trade GICS in SENTENCE_DIRECTIVE.",MIDAS-EPIC-19,5,WAVE 5,EDGAR v2.0
SEC-4,Story,Add officer level filter to Form 4 — CEO/CFO/COO/President only for credibility filter [MIDAS_v6],,High,To Do,"EDGAR Form 4 XML contains reportingOwner/officerTitle field. Parse: flag CEO, CFO, COO, President, EVP as OFFICER_LEVEL_PASS. Flag: VP, Director, 10% Owner as OFFICER_LEVEL_WATCH. Flag: Board member as OFFICER_LEVEL_ROUTINE (lower signal). Write officer level to EDGAR_.txt. Enables v2.0 credibility filter: 'CEO/CFO/COO open-market buys/sells >$500K = PASS'. Requires Form 4 XML parse per filing (same call as SEC-2).",MIDAS-EPIC-19,3,WAVE 5,EDGAR v2.0
SEC-5,Story,Add minute-window cluster detection for same-entity or same-sector filing bursts [MIDAS_v6],,High,To Do,Current: same-day cluster only. Add: 15-minute window cluster. Algorithm: sort all Form 4s by filed_at timestamp. Slide 15-minute window. If 3+ filings against same entity OR same GICS sector within window: flag as TIMED_CLUSTER with window duration (e.g. '4 entities · 7 min · 301KB'). TIMED_CLUSTER > SAME_DAY_CLUSTER in signal strength. Write cluster flag prominently at top of P1 section.,MIDAS-EPIC-19,3,WAVE 5,EDGAR v2.0
SEC-6,Story,Add Form 144 confirmation tracking — cross-run state for proposed vs confirmed sales [MIDAS_v6],,High,To Do,"Form 144 = proposed sale only. v2.0 constraint: do not use as short confirmation until corresponding Form 4 disposal appears under same CIK. Implement: write pending_144s.json to dexter_data/ — dict of {CIK: [proposed_date, entity]}. On each run: check pending_144s.json against today's Form 4 disposals. If Form 4 disposal found for same CIK: mark as CONFIRMED, clear from pending. Write 144 status to EDGAR_.txt: [PROPOSED - awaiting Form 4] or [CONFIRMED - Form 4 filed DATE].",MIDAS-EPIC-19,3,WAVE 5,EDGAR v2.0
SEC-7,Story,Add Item 7.01 Reg FD mandatory extraction from 8-K filings [MIDAS_v6],,Medium,To Do,"Current: 8-K keyword search only. Add: specific Item 7.01 extraction. EDGAR EFTS search for 8-K with q='Item 7.01' OR 'Regulation FD'. For each hit, fetch the filing index page to identify exhibit type. Write to EDGAR_.txt: 'Item 7.01 Reg FD: [entity] [date] — [what was selectively disclosed]'. Phase 3 LLM instruction: Item 7.01 is mandatory extraction — the signal is what management shared with analysts before public filing.",MIDAS-EPIC-19,3,WAVE 5,EDGAR v2.0
SEC-8,Story,Add 13D→13G and 13G→13D reclassification detection [MIDAS_v6],,Medium,To Do,"Current: retrieves both form types but does not detect direction changes. Add: for each 13D/G amendment, check prior filing by same filer+CIK in edgar_state.json. If prior = 13D and current = 13G: flag 13D→13G HARVEST (activist reducing, often precedes exit). If prior = 13G and current = 13D: flag 13G→13D DEPLOYMENT (passive becoming activist). Write reclassification direction to EDGAR_.txt: '[HARVEST] Filer X: 13D→13G on Entity Y — activist reducing influence'. State: harvest/deployment is more important than the raw form type.",MIDAS-EPIC-19,3,WAVE 5,EDGAR v2.0
SEC-9,Story,Upgrade EDGAR LLM instruction block to v2.0 prompt schema [MIDAS_v6],,Medium,To Do,"Replace current 6-line Phase 3 instruction block with full v2.0 schema. Add: (1) Blind Spot section — naming the one truth the news cycle cannot see. (2) Assumption Invalidation — which consensus assumption today's filings challenge. (3) Alpha Signal with all required v2.0 fields: GICS 8-digit, Signal Source with item number, Textual Evidence citation, Thesis, NLLI Phase (Velocity/Exhaustion), Entry Trigger, Time Horizon, LFI/CCS/CXOD qualifiers, 144 Confirmation Status, Key Risk, Invalidation Signal. (4) Chain-of-thought enforcement: no inference without filing citation.",MIDAS-EPIC-19,3,WAVE 5,EDGAR v2.0
SEC-10,Story,Add SEC Filing Analysis Prompt v2.0 as a foundation file in NotebookLM upload [MIDAS_v6],,Medium,To Do,SEC_Filing_Analysis_Prompt_Version_2_0.md uploaded to NotebookLM alongside SOUL.md / MACRO_TIERS.md etc. Phase 3 uses it as the forensic framework document. Add to dexter_notebooklm_upload.py FOUNDATION_FILES list. Add to HEARTBEAT.md 06:00 upload checklist. Add to MIDAS_SENTINEL_PROMPT_LIBRARY v2026.5 Phase 3 source document reference.,MIDAS-EPIC-19,1,WAVE 5,EDGAR v2.0
GMISR-9,Story,Add Block 5 EDGAR Forensic to Phase 5 GMISR schema with v2.0 structure [MIDAS_v6],,High,To Do,"New dedicated EDGAR block in Phase 5 GMISR output. Structure: (1) Cluster alert section — timed clusters at top with entity/window/size metadata. (2) Filing inventory table with Form | Entity | GICS | CIK | Size | Direction | NLLI Phase. (3) Blind Spot — one truth news cycle cannot see (with filing citation). (4) Assumption Invalidation — consensus challenged by today's filings. (5) Alpha Signal pair trade with full v2.0 fields including LFI/CCS/CXOD qualifiers and Form 144 confirmation status. P1-P5 filter buttons in HTML output (clusters vs routine toggle). Phase 3 NARRATIVE_ALPHA contract adds: blind_spot, assumption_invalidation, edgar_nlli_phase fields.",MIDAS-EPIC-10,3,WAVE 5,GMISR v2.0
POLY-1,Story,Install py-clob-client and write run_polymarket() — Module 10 [MIDAS_v6],,High,To Do,"pip install py-clob-client (official Polymarket Python SDK). New function run_polymarket(out_dir, run_date, dead_letters). Query Gamma API (gamma-api.polymarket.com/markets) — no auth required for read-only. Level 0 (no wallet) sufficient for midpoint price queries. Fetch YES token midpoint price for each watched slug → implied probability (0–1 = 0–100%). Graceful failure: if Gamma API unreachable, write UNAVAILABLE and continue pipeline. ETL version bump to 1.8.1.0.",MIDAS-EPIC-20,3,WAVE 5,Polymarket Layer
POLY-2,Story,Define POLY_WATCH_SLUGS — 7 macro event slugs mapped to MACRO_TIERS tiers [MIDAS_v6],,High,To Do,"Create module-level constant POLY_WATCH_SLUGS dict: slug → (display_name, tier_tag, soul_threshold_reference). Initial 7 slugs: fed-rate-cut-2026 (Tier -1, fra_ois_watch), fomc-pause-may (Tier -1, fra_ois_emergency), us-recession-2026 (Tier -2, net_liq_roc_emergency), brent-crude-above-100-june (Tier 2, COMMODITY_REGIME), us-cpi-above-4-percent-2026 (Tier 1, T10YIE), japan-rate-hike-q2-2026 (Tier 3, usdjpy_deleverage), ecb-rate-cut-june-2026 (Tier 3, usdchf_stress). Slugs verified against live Gamma API before committing. Document in SYNC_CONTRACT v1.4 as new data source.",MIDAS-EPIC-20,2,WAVE 5,Polymarket Layer
POLY-3,Story,Compute 24h probability delta from Parquet history and write POLYMARKET_SNAPSHOT file [MIDAS_v6],,High,To Do,"Load prior day's polymarket_signals Parquet row (from parquet store, P1-1 prerequisite). Compute delta_24h = current_prob - prior_prob for each slug. Flag ALERT if abs(delta_24h) >= 0.05 (5 percentage point move in 24h). Write POLYMARKET_SNAPSHOT_{date}.txt — structured format: SLUG | PROB_PCT | DELTA_24H | LIQUIDITY_USD | TIER_TAG | ALERT | SIGNAL_NOTE. SIGNAL_NOTE is one sentence: 'brent-above-100 at 78% and rising (+6pp) — aligns with COMMODITY_REGIME composite active in ETL TIER_3.' Also write row to polymarket_signals Parquet table partitioned by run_date.",MIDAS-EPIC-20,3,WAVE 5,Polymarket Layer
POLY-4,Story,Add liquidity filter — minimum $50K open interest to suppress noise [MIDAS_v6],,Medium,To Do,"Polymarket markets vary from $1K to $100M+ in liquidity. Low-liquidity markets (<$50K) produce volatile prices that do not represent genuine information aggregation — they are manipulable by single traders. Add: query Gamma API market volume/liquidity fields. If market volume_24h < $50,000: write ILLIQUID flag, reduce signal confidence to LOW. If volume_24h >= $50,000 and < $500,000: MEDIUM confidence. If volume_24h >= $500,000: HIGH confidence. Write confidence level to POLYMARKET_SNAPSHOT alongside each slug.",MIDAS-EPIC-20,2,WAVE 5,Polymarket Layer
POLY-5,Story,Add oracle dispute risk flag based on event type classification [MIDAS_v6],,Medium,To Do,"Six major Polymarket controversies in 2025 exhibited recurring failure modes: definition ambiguity, oracle disputes, settlement refusals. Add ORACLE_RISK classification per slug type: LOW — binary economic data releases (CPI above/below X%): objective, numeric settlement. MEDIUM — Fed/ECB rate decisions: objective but timing disputes possible. HIGH — geopolitical/conflict events: definition disputes common (Hormuz 'closed' definition). Write ORACLE_RISK to POLYMARKET_SNAPSHOT. Phase 3 instruction: do not use HIGH oracle_risk slugs as ground truth — directional signal only with stated confidence weighting.",MIDAS-EPIC-20,2,WAVE 5,Polymarket Layer
POLY-6,Story,Persist polymarket_signals to Parquet — Layer 1 integration [MIDAS_v6],,Medium,To Do,"Add polymarket_signals table to gmisr_metrics Parquet store (Wave 6 P1-1 prerequisite). Schema: run_date DATE PK, slug VARCHAR, prob_pct FLOAT, delta_24h FLOAT, volume_usd FLOAT, confidence VARCHAR, oracle_risk VARCHAR, alert BOOL. One row per slug per day. Enables: DuckDB queries across 90 days of probability history, correlation with regime labels, feature for Wave 7 HMM classifier. Add POLYMARKET_SNAPSHOT_{date}.txt to NotebookLM upload list in dexter_notebooklm_upload.py DAILY_FILES_PRIORITY.",MIDAS-EPIC-20,2,WAVE 5,Polymarket Layer
POLY-7,Story,Add polymarket_divergence field to Phase 3 NARRATIVE_ALPHA contract [MIDAS_v6],,High,To Do,"Phase 3 NARRATIVE_ALPHA contract new field: polymarket_divergence. Phase 3 instruction: for each POLY_WATCH_SLUG with confidence >= MEDIUM: (1) Compare implied probability against current TIER_AUDIT regime read. (2) Check alignment: brent-above-100 at 78% + COMMODITY_REGIME = ALIGNED.     fed-rate-cut at 67% + Regime A (contraction) = CONTRADICTS. (3) If CONTRADICTS: surface as polymarket_divergence signal —     'Polymarket implies [X] but ETL regime implies [Y] — divergence is the signal.' (4) Do not resolve the contradiction — surface it for human review. CONFIDENCE WEIGHTING: Polymarket < SEC filings < TIER_AUDIT. If Polymarket and TIER_AUDIT diverge, never override TIER_AUDIT.",MIDAS-EPIC-20,3,WAVE 5,Polymarket Layer
GMISR-10,Story,Add Block 2.7 Prediction Market Probability Layer to Phase 5 GMISR schema [MIDAS_v6],,High,To Do,"New block between Economic Calendar (2.5) and Scored Metrics (2). Structure: (1) Probability table: SLUG | PROB | 24H_DELTA | CONFIDENCE | ALIGNMENT.     Alignment = ALIGNED / PARTIAL / CONTRADICTS vs current ETL regime.     Delta coloured: green=prob rising toward regime thesis, red=falling. (2) Divergence alert: if any slug CONTRADICTS current regime —     surface as named alert: 'Polymarket fed-rate-cut at 67% contradicts     Regime A (contraction) — smart money pricing pivot not yet in ETL signal.' (3) Confirmation note: slugs that ALIGN with active regime add confidence.     'brent-above-100 at 78% (+6pp) confirms COMMODITY_REGIME composite.' Filter buttons: All / Macro / Energy / FX / Geopolitical. Confidence and oracle_risk badges per slug.",MIDAS-EPIC-10,3,WAVE 5,GMISR v2.0
SYNC-2,Story,Update DEXTER_SYNC_CONTRACT v1.4 — Polymarket source registry [MIDAS_v6],,Medium,To Do,"Add Polymarket section to SYNC_CONTRACT: API: gamma-api.polymarket.com (no auth, read-only) — confirmed working. SDK: py-clob-client (pip install py-clob-client). Auth: Level 0 (no wallet) for read queries. Cadence: daily at ETL run time (05:45 ET). Output: POLYMARKET_SNAPSHOT_{date}.txt. Parquet: polymarket_signals table. Confidence hierarchy: SEC EDGAR > TIER_AUDIT > Polymarket > RSS. Oracle risk taxonomy: LOW (numeric release) / MEDIUM (rate decision) / HIGH (geopolitical). Conflict resolution: TIER_AUDIT always wins. Divergence = surface to human, not auto-resolve. DO NOT use: poly_data library, Apify scraper, 30-minute intraday monitor (wrong architecture for daily brief pipeline).",MIDAS-EPIC-1,1,WAVE 5,Docs
SYNC-3,Story,Add Polymarket to MACRO_TIERS v3.3 as a Tier -1 / Tier 3 leading indicator source [MIDAS_v6],,Medium,To Do,"Add to MACRO_TIERS §Tier -1 (Repo / Interbank / CCBS): 'Polymarket prediction markets for Fed/ECB/BoJ rate decisions provide real-time implied probability of rate path changes. HIGH liquidity (>$500K) and LOW oracle_risk slugs only. Treat as directional signal below TIER_AUDIT confidence.' Add to §Tier 3 (FX): 'Polymarket geopolitical slugs (Hormuz, conflict escalation) provide leading probability for DXY safe-haven demand spikes. HIGH oracle_risk — use with explicit caveat.' Version bump: MACRO_TIERS v3.3.",MIDAS-EPIC-1,1,WAVE 5,Docs
POLY-8,Story,Add earnings volatility contract monitoring for Tier 6 earnings Delta cross-check [MIDAS_v6],,Low,To Do,"For active earnings week: query Polymarket for earnings-related contracts (e.g. ADBE-earnings-beat, NVDA-revenue-above-X). Cross-reference with Tier 6 Earnings Delta score from EARNINGS_CALENDAR. Phase 3 instruction: 'Compare implied earnings beat probability from Polymarket with Earnings Delta score from EDGAR and management tone from NARRATIVE_ALPHA. Is there a divergence between prediction market and fundamental signal?' Only for HIGH liquidity contracts (>$500K). Flag LOW/MEDIUM liquidity as noise. Add to EARNINGS_CALENDAR section of GMISR as supplemental probability field.",MIDAS-EPIC-20,2,WAVE 5,Polymarket Layer
IQ-1b,Story,SOUL.md §2 model output epistemic guardrail — [MODEL_BELIEF] label [MIDAS_v6],,High,To Do,"Add §2 clause: any output from BISTRO/MOIRAI in GMISR must be labeled [MODEL_BELIEF]. CONDITIONAL_CORRELATION not CAUSAL_INFERENCE. BIS paper explicitly warns: BISTRO learns correlation patterns, not structural mechanisms. Zero Hallucination Policy extension. SOUL v2.3 → v2.4+. Doc-only change, no code.",MIDAS-EPIC-21,1,WAVE 5,Track B — Shadow Pipeline
IQ-8a,Story,BISTRO/MOIRAI Colab Track B — start shadow pipeline in paper mode [MIDAS_v6],,High,To Do,Start today. Clone bis-med-it/bistro + pip install uni2ts. Load ETL FRED CSVs as y. Load NEWS_CORPUS headlines as SBERT covariates (PCA-3 dims). Run baseline forecast + FRA-OIS stress scenario (25bps acceleration). Log TRACK_B_* fields in DAILY_STATE.md. Reference: BISTRO_MOIRAI_CHEATSHEET.md. No ETL code change required. Convergence clock starts on first run. 20-day paper mode before promotion to ETL module.,MIDAS-EPIC-21,3,WAVE 5,Track B — Shadow Pipeline
IQ-8b,Story,Promote Track B → ETL module: bayesian_regime_filter.py after 20-day validation [MIDAS_v6],,Medium,To Do,"After 20 trading days of Colab Track B with documented TRACK_B_REGIME_IMPLICATION vs REGIME_LABEL comparison: promote MOIRAI-based {P_A, P_B, P_C} to ETL module. Classification head on MOIRAI quantile output. Hamilton Switching Model or HMM. Prerequisite: IQ-1a (FRA-OIS Δ1/Δ2) and IQ-3b (FinBERT embeddings) as inputs. ETL version 2.3.0.0. Convergence criterion must be documented in SOUL.md §6 before promotion.",MIDAS-EPIC-21,8,WAVE 5,Track B — Shadow Pipeline
IQ-3b,Story,Upgrade run_news() keyword tagging → FinBERT/SBERT neural embeddings [MIDAS_v6],,Medium,To Do,"Replace keyword match (misses semantic content — ""Hormuz insurance premiums"" tags UNCLASSIFIED) with all-MiniLM-L6-v2 (80MB, ~1s/headline) or ProsusAI/finbert. Same tier-tagging interface, dramatically improved recall. Standalone BUILD — no schema change. Improves Track B covariate quality immediately. Reference: BISTRO_MOIRAI_CHEATSHEET.md §3 and §7.",MIDAS-EPIC-21,5,WAVE 5,Track B — Shadow Pipeline
